phi1,phi,phi2,X,Y,IQ
0.3691,1.3971,3.16785,9.0,1.0,60
0.3691,1.3971,3.16785,9.0,2.0,60
0.3691,1.3971,3.16785,9.0,3.0,60
0.3691,1.3971,3.16785,9.0,4.0,60
0.3691,1.3971,3.16785,9.0,5.0,60
0.3691,1.3971,3.16785,9.0,6.0,60
0.3691,1.3971,3.16785,9.0,7.0,60
0.3691,1.3971,3.16785,9.0,8.0,60
3.20856,3.0361,3.52897,9.0,9.0,60
3.20856,3.0361,3.52897,9.0,10.0,60
3.20856,3.0361,3.52897,9.0,11.0,60
3.20856,3.0361,3.52897,9.0,12.0,60
3.20856,3.0361,3.52897,9.0,13.0,60
3.20856,3.0361,3.52897,9.0,14.0,60
0.44925,0.54098,2.15558,9.0,15.0,60
0.44925,0.54098,2.15558,9.0,16.0,60
0.44925,0.54098,2.15558,9.0,17.0,60
0.44925,0.54098,2.15558,9.0,18.0,60
0.44925,0.54098,2.15558,9.0,19.0,60
0.44925,0.54098,2.15558,9.0,20.0,60
0.44925,0.54098,2.15558,9.0,21.0,60
0.44925,0.54098,2.15558,9.0,22.0,60
0.44925,0.54098,2.15558,9.0,23.0,60
0.44925,0.54098,2.15558,9.0,24.0,60
0.44925,0.54098,2.15558,9.0,25.0,60
0.44925,0.54098,2.15558,9.0,26.0,60
0.44925,0.54098,2.15558,9.0,27.0,60
0.44925,0.54098,2.15558,9.0,28.0,60
0.44925,0.54098,2.15558,9.0,29.0,60
0.44925,0.54098,2.15558,9.0,30.0,60
0.3691,1.3971,3.16785,9.0,31.0,60
0.3691,1.3971,3.16785,9.0,32.0,60
0.3691,1.3971,3.16785,9.0,33.0,60
0.3691,1.3971,3.16785,9.0,34.0,60
0.3691,1.3971,3.16785,9.0,35.0,60
0.3691,1.3971,3.16785,9.0,36.0,60
0.3691,1.3971,3.16785,9.0,37.0,60
0.3691,1.3971,3.16785,9.0,38.0,60
0.3691,1.3971,3.16785,9.0,39.0,60
0.3691,1.3971,3.16785,9.0,40.0,60
0.3691,1.3971,3.16785,10.0,0.0,60
0.3691,1.3971,3.16785,10.0,1.0,60
0.3691,1.3971,3.16785,10.0,2.0,60
0.3691,1.3971,3.16785,10.0,3.0,60
0.3691,1.3971,3.16785,10.0,4.0,60
0.3691,1.3971,3.16785,10.0,5.0,60
0.3691,1.3971,3.16785,10.0,6.0,60
0.3691,1.3971,3.16785,10.0,7.0,60
0.3691,1.3971,3.16785,10.0,8.0,60
0.3691,1.3971,3.16785,10.0,9.0,60
3.20856,3.0361,3.52897,10.0,10.0,60
3.20856,3.0361,3.52897,10.0,11.0,60
3.20856,3.0361,3.52897,10.0,12.0,60
3.20856,3.0361,3.52897,10.0,13.0,60
